amount,account_amount_delta,account_hourly_transaction_sum,merchant_amount_delta,merchant_hourly_transaction_sum,hour,suspected_anomaly
0.012340659887280746,0.5756556586644603,0.5960789622611787,0.5339623238671118,0.65214277890624,10.0,0
0.018921436069324202,0.5723141127696099,0.4172031103271505,0.5726446320954335,0.5533343174769061,11.0,0
0.11951975662496449,0.6373899425659219,0.30785081424467065,0.5610439366643237,0.3163665833183593,13.0,0
0.006312402356375555,0.5334795340565245,0.24515263210095334,0.5299419640723422,0.2842390472942068,0.0,0
0.04219722692738541,0.5670253409710179,0.5994267292496696,0.5725735778907438,0.569881409238564,18.0,0
0.032996484625887314,0.5548304154874804,0.5380105927923462,0.5207656866697603,0.4820846439911456,22.0,0
0.08131514858879887,0.5930917574801473,0.2937345226805709,0.5561047477296998,0.23916721553790857,21.0,0
0.0026007403859465593,0.5359219344177542,0.28970761541304335,0.5296695769078081,0.16905449645923923,14.0,0
0.06915079246956808,0.5739716959758232,0.16073355819385418,0.589197407669533,0.18785377877056775,5.0,0
0.10206940515074957,0.6014668638919258,0.5764966353048024,0.5716378401639798,0.5390161386753786,23.0,0
0.10712661568135087,0.5989546023110851,0.6231930322810326,0.5903660135063886,0.5834193640962784,21.0,0
0.10565791850384303,0.609723032484942,0.5110939144946637,0.6042766316775244,0.7350209367818792,16.0,0
0.1212596223110972,0.6244808715267536,0.2278430933783861,0.564604567236891,0.2603721506121873,13.0,0
0.04306880287550688,0.5708957212576754,0.1220739398596336,0.5250595333228743,0.2667098216358007,18.0,0
0.008929629967405008,0.5534913828461157,0.14336819822852834,0.5443161572157106,0.2185192909233666,22.0,0
0.11533280194098737,0.6076686873410712,0.23947424098955766,0.58660570904961,0.16936959240093138,18.0,0
0.11458662159147337,0.6357843922242777,0.23072482005384748,0.6022722903279127,0.21858751727932704,4.0,0
0.002191480834527721,0.5797543715564167,0.37929081128447634,0.540338265943175,0.6342961862334517,23.0,0
0.04508893734441586,0.5491819582466797,0.23637342220648044,0.530128613259344,0.2391058784646534,7.0,0
0.03627859399528521,0.5540505578566848,0.24355365173990845,0.5452179506364231,0.24517389311100038,19.0,0
0.06902673101609083,0.5883145233274528,0.6474200268620784,0.5339906552851028,0.6720250187887347,11.0,0
0.027742312143167087,0.5712952125544138,0.6653685356149984,0.5676292401007074,0.6546602448723821,2.0,0
0.09953246498929329,0.6168276254860601,0.24982389632868762,0.6102142408860985,0.31725211512796236,11.0,0
0.06482830268399385,0.5908641531404611,0.626971431968715,0.5914592807823226,0.4842352139987879,20.0,0
0.1021504228692361,0.5805048804732944,0.23262956593386913,0.5854498100793829,0.29651975695690014,13.0,0
0.1068206891811756,0.6125412416043764,0.20173701716713954,0.6122508293264591,0.19837891845589087,10.0,0
0.11085286898641455,0.590132419102202,0.280203200991688,0.5679138383161637,0.21805825411200033,18.0,0
0.13395918128203935,0.6375214704448628,0.2497822648480192,0.5677955672003596,0.2911032757573967,16.0,0
0.03838268130196724,0.5531673865291815,0.21820165029195837,0.5780277667856072,0.15260595186612116,20.0,0
0.03430080107971944,0.5891426212454725,0.5529937302433974,0.5317886487405517,0.46505651404109805,11.0,0
0.13079597935282616,0.6149136705343456,0.6065570833369035,0.6125854985716472,0.6763443762842326,7.0,0
0.05203497437584689,0.5699065976369183,0.5853109774690268,0.543352049931286,0.5171619647707619,12.0,0
0.039919462012015,0.5711048835190258,0.7462120566409175,0.5615516455910349,0.5401231851921976,1.0,0
0.10503053324545016,0.5949493294486623,0.1525012988812053,0.5855941051631598,0.19432261782499427,7.0,0
0.14023960628618853,0.6135907871411297,0.6390561667068974,0.5889521632366169,0.6611786835023736,5.0,0
0.014345163792716763,0.5762573299904109,0.19945656837012726,0.5526353853867741,0.2479729956345075,13.0,0
0.10522807098652,0.5734228808602929,0.2749367628004556,0.6047177741673496,0.31240716186720885,22.0,0
0.07603534647594552,0.6173533415364945,0.5586998138818461,0.5439410281375605,0.6222084942055854,7.0,0
0.11929508658503589,0.6026105690754526,0.2732300220328976,0.6146448691080544,0.23172349227092662,16.0,0
0.07260872812349567,0.563762719583178,0.12171001676243004,0.5914247770944485,0.20573077737588466,23.0,0
0.10321679805000224,0.6186580011093386,0.29686510316062004,0.5913714006266743,0.2442143033233782,21.0,0
0.014303271635627944,0.5659544273403673,0.7000755514185849,0.5660268336604478,0.4548833978669625,16.0,0
0.04843974816620348,0.548769066509988,0.28857010628889684,0.5575183055953369,0.26452385259562505,8.0,0
0.12155088725847306,0.6112577556342838,0.6032333258075343,0.5787912276242425,0.6653831344995007,20.0,0
0.13635749674264958,0.6024500101514654,0.6970493154426669,0.6245887709298829,0.6156611274702699,11.0,0
0.07580524155006542,0.6127424426948208,0.6514464379650141,0.5811029810684152,0.7325631706882652,11.0,0
0.09594254727290484,0.5958383549596574,0.2327386403586969,0.6019925358505109,0.305722960285732,21.0,0
0.06841675986255553,0.5971111892979925,0.5023979484782742,0.5528634606117043,0.4592096011796596,23.0,0
0.06908494187466716,0.6176814545826836,0.6222616195688471,0.5761672119908428,0.6635830485997077,11.0,0
0.13606326858872136,0.6068605247655073,0.8100448690636772,0.5979127989465977,0.6731914301314729,19.0,0
0.08423139323259236,0.5743764061183102,0.7034977730838184,0.5555408590694899,0.48768257013449623,0.0,0
0.09373279567190962,0.6109682944618251,0.06663906755668308,0.5808377323787306,0.1794572155468371,20.0,0
